Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Enrico Fermi,UK,Mathematics,139,"Mona Lisa, The Last Supper, Inventions",1917,Female,Dirac Equation,Two Nobel Prizes,Ph.D. in Chemistry,Pioneering research in radioactivity
Alan Turing,UK,Physics,173,Nuclear Reactor,1994,Male,A Brief History of Time,Numerous Honors,Ph.D. in Chemistry,Foundational work in quantum mechanics
James Clerk Maxwell,Italy,Physics,164,Discovery of Radium and Polonium,1919,Male,Theory of Electromagnetism,N/A,Ph.D. in Chemistry,Pioneering research in radioactivity
Paul Dirac,Italy,Astronomy,160,General Theory of Relativity,1961,Male,Feynman Lectures,N/A,Ph.D. in Physics,Penrose's work on black holes and cosmology
Paul Dirac,UK,Engineering,153,"AC Electricity, Tesla Coil",1967,Female,A Brief History of Time,Pulitzer Prize,University of Cambridge,Contributions to cosmology and quantum gravity
Erwin Schrödinger,USA,Physics,192,Black Hole Theory,1963,Male,Various Patents,N/A,Ph.D. in Physics,Revolutionized modern physics
Niels Bohr,UK,Mathematics,135,Electromagnetic Theory,1904,Female,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
James Clerk Maxwell,UK,Chemistry,184,Quantum Electrodynamics,1903,Female,Bohr Model,Nobel Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
Stephen Hawking,Italy,Mathematics,131,Theory of Relativity,1977,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Nikola Tesla,UK,Physics,178,Black Hole Theory,1944,Male,Various Patents,N/A,Ph.D. in Mathematics,Foundation of classical mechanics
Erwin Schrödinger,UK,Mathematics,150,Theory of Relativity,1956,Male,On Computable Numbers,Nobel Prize,Ph.D. in Astronomy,Laid the groundwork for modern computing
Alan Turing,Italy,Physics,182,Electromagnetic Induction,1947,Male,Theory of Electromagnetism,Numerous Honors,Ph.D. in Mathematics,Discovery of electromagnetic induction
Ada Lovelace,UK,Mathematics,144,Heliocentric Theory,1974,Male,Vitruvian Man,Nobel Prize,Ph.D. in Chemistry,Major advancements in astronomy
Leonardo da Vinci,Italy,Mathematics,160,"AC Electricity, Tesla Coil",1995,Male,Schrödinger Equation,Copley Medal,Ph.D. in Physics,Major advancements in astronomy
Michael Faraday,Italy,Physics,170,Electromagnetic Theory,1996,Female,Feynman Lectures,Numerous Honors,Self-taught,Evolutionary biology pioneer
Galileo Galilei,USA,Mathematics,147,Heliocentric Theory,1920,Male,Vitruvian Man,Numerous Posthumous,Ph.D. in Physics,Unified theory of electromagnetism
Roger Penrose,UK,Physics,160,Heliocentric Theory,1959,Female,Philosophiæ Naturalis Principia Mathematica,Two Nobel Prizes,Ph.D. in Physics,Nuclear physics and reactor development
Michael Faraday,UK,Physics,167,Quantum Mechanics,1990,Male,Bohr Model,Pulitzer Prize,Self-taught,Popularizing science and cosmology
James Clerk Maxwell,UK,Physics,168,Quantum Theory,1986,Female,On the Origin of Species,Pulitzer Prize,Self-taught,Inventor and electrical engineering pioneer
Erwin Schrödinger,USA,Physics,161,Quantum Mechanics,1916,Female,Research on radioactivity,N/A,University of Pisa,Early pioneer of computer science
James Clerk Maxwell,UK,Physics,155,Heliocentric Theory,1961,Female,Fermi Paradox,Pulitzer Prize,University of Pisa,Pioneering research in radioactivity
Niels Bohr,Italy,Astronomy,141,Father of Computer Science,1948,Female,Notes on the Analytical Engine,N/A,Ph.D. in Mathematics,Pioneering research in radioactivity
Enrico Fermi,Austria,Mathematics,162,Electromagnetic Induction,1922,Male,On Computable Numbers,Numerous Honors,Ph.D. in Physics,Inventor and electrical engineering pioneer
Leonardo da Vinci,USA,Physics,158,General Theory of Relativity,1987,Male,On the Origin of Species,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Carl Sagan,USA,Biology,172,Electromagnetic Induction,1947,Male,Notes on the Analytical Engine,Nobel Prize,University of Pisa,Foundational work in quantum mechanics
Charles Darwin,Italy,Mathematics,194,Theory of Evolution,1949,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Chemistry,Nuclear physics and reactor development
Nikola Tesla,UK,Physics,200,Laws of Motion,1957,Female,Penrose Diagram,Nobel Prize,Ph.D. in Astronomy,Contributions to cosmology and quantum gravity
Albert Einstein,UK,Engineering,197,Wave Equation,1955,Male,On Computable Numbers,Nobel Prize,Ph.D. in Mathematics,Discovery of electromagnetic induction
Max Planck,UK,Astronomy,180,Theory of Evolution,1945,Male,On the Origin of Species,N/A,Ph.D.,Foundation of classical mechanics
Erwin Schrödinger,UK,Physics,173,Laws of Motion,1924,Female,E=mc²,Copley Medal,Ph.D. in Physics,Discovery of electromagnetic induction
Max Planck,UK,Physics,187,"Mona Lisa, The Last Supper, Inventions",1922,Female,E=mc²,Royal Medal,Ph.D. in Physics,Revolutionized modern physics
Carl Sagan,USA,Physics,138,"AC Electricity, Tesla Coil",1985,Male,E=mc²,Numerous Honors,University of Cambridge,Pioneering research in radioactivity
James Clerk Maxwell,Austria,Physics,150,Father of Computer Science,1931,Male,Research on radioactivity,Royal Medal,Ph.D. in Mathematics,Unified theory of electromagnetism
Roger Penrose,Germany,Mathematics,157,"AC Electricity, Tesla Coil",1910,Male,Dirac Equation,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Isaac Newton,UK,Astronomy,190,Laws of Motion,1991,Female,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Paul Dirac,UK,Astronomy,133,Black Hole Theory,1932,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Niels Bohr,USA,Physics,194,Black Hole Theory,1947,Male,Quantum Theory,Numerous Honors,Ph.D. in Chemistry,Early pioneer of computer science
Isaac Newton,Austria,Physics,145,Wave Equation,1907,Female,Bohr Model,N/A,Ph.D. in Mathematics,Unified theory of electromagnetism
Paul Dirac,Italy,Physics,191,Discovery of Radium and Polonium,1931,Female,On the Origin of Species,N/A,Self-taught,Foundation of classical mechanics
Erwin Schrödinger,USA,Mathematics,196,Laws of Motion,1961,Female,Dirac Equation,Pulitzer Prize,Ph.D. in Chemistry,Major advancements in astronomy
Marie Curie,USA,Physics,141,Electromagnetic Theory,1915,Male,Dialogue Concerning the Two Chief World Systems,N/A,Self-taught,Evolutionary biology pioneer
Albert Einstein,UK,Physics,131,Quantum Mechanics,1943,Female,Fermi Paradox,Royal Medal,Ph.D. in Astronomy,Discovery of electromagnetic induction
Stephen Hawking,Denmark,Chemistry,138,First computer algorithm,1905,Male,E=mc²,N/A,Ph.D. in Physics,Foundation of classical mechanics
Leonardo da Vinci,Italy,Chemistry,133,"Mona Lisa, The Last Supper, Inventions",1956,Female,Theory of Electromagnetism,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Stephen Hawking,USA,Mathematics,198,Quantum Electrodynamics,1926,Male,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
James Clerk Maxwell,UK,Astronomy,192,Theory of Relativity,1961,Female,Schrödinger Equation,Royal Medal,Ph.D. (honorary),Iconic Renaissance artist and inventor
Michael Faraday,France,Physics,169,Black Hole Theory,1939,Female,A Brief History of Time,N/A,Ph.D. in Astronomy,Developed quantum theory
Roger Penrose,UK,Physics,191,Father of Computer Science,1900,Female,Quantum Theory,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Paul Dirac,USA,Physics,153,"Mona Lisa, The Last Supper, Inventions",1943,Male,Philosophiæ Naturalis Principia Mathematica,Two Nobel Prizes,Self-taught,Wave mechanics in quantum physics
Michael Faraday,UK,Astronomy,191,Heliocentric Theory,1920,Female,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Ada Lovelace,UK,Physics,172,Heliocentric Theory,1924,Female,Fermi Paradox,Nobel Prize,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Michael Faraday,USA,Physics,170,Theory of Evolution,1996,Male,Notes on the Analytical Engine,Numerous Posthumous,Ph.D. in Mathematics,Quantum electrodynamics and physics teaching
Nikola Tesla,UK,Mathematics,173,Quantum Electrodynamics,1937,Female,Vitruvian Man,Numerous Honors,Self-taught,Quantum electrodynamics and physics teaching
James Clerk Maxwell,UK,Polymath,163,Discovery of Radium and Polonium,1969,Male,Dirac Equation,Royal Medal,Ph.D. in Astronomy,Laid the groundwork for modern computing
Niels Bohr,USA,Physics,150,General Theory of Relativity,1932,Female,On Computable Numbers,Pulitzer Prize,Ph.D. in Astronomy,Pioneering research in radioactivity
Nikola Tesla,France,Astronomy,143,Electromagnetic Theory,1952,Male,Vitruvian Man,Pulitzer Prize,Self-taught,Foundational work in quantum mechanics
Paul Dirac,Italy,Chemistry,168,Nuclear Reactor,1941,Female,Cosmos,Copley Medal,Self-taught,Nuclear physics and reactor development
Nikola Tesla,USA,Mathematics,143,Quantum Mechanics,1971,Male,Discovery of Electromagnetic Induction,Pulitzer Prize,Ph.D. in Physics,Revolutionized modern physics
Alan Turing,UK,Astronomy,174,Laws of Motion,1910,Male,Research on radioactivity,Nobel Prize,Ph.D. (honorary),Pioneering research in radioactivity
Roger Penrose,Germany,Chemistry,183,Heliocentric Theory,1927,Male,Theory of Electromagnetism,Copley Medal,Ph.D. in Physics,Revolutionized modern physics
Nikola Tesla,Denmark,Biology,180,Laws of Motion,1939,Female,Cosmos,Numerous Honors,Ph.D. in Physics,Discovery of electromagnetic induction
Isaac Newton,Denmark,Mathematics,133,Quantum Electrodynamics,1972,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Mathematics,Major advancements in astronomy
Charles Darwin,UK,Chemistry,168,Black Hole Theory,1957,Female,Dirac Equation,N/A,Ph.D.,Iconic Renaissance artist and inventor
Charles Darwin,USA,Engineering,167,Wave Equation,1930,Male,Quantum Theory,Numerous Posthumous,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Richard Feynman,UK,Physics,168,Father of Computer Science,1936,Female,Vitruvian Man,Nobel Prize,Ph.D. in Chemistry,Contributions to cosmology and quantum gravity
Paul Dirac,UK,Engineering,179,General Theory of Relativity,1911,Female,A Brief History of Time,Nobel Prize,Self-taught,Popularizing science and cosmology
Nikola Tesla,Italy,Physics,150,Quantum Theory,1997,Male,Research on radioactivity,Royal Medal,Ph.D. in Physics,Revolutionized modern physics
Ada Lovelace,Italy,Engineering,189,First computer algorithm,1941,Female,Discovery of Electromagnetic Induction,Numerous Honors,Self-taught,Pioneering research in radioactivity
Max Planck,USA,Mathematics,158,Theory of Evolution,1942,Male,Quantum Theory,Two Nobel Prizes,Ph.D. in Physics,Developed quantum theory
Erwin Schrödinger,UK,Physics,136,Quantum Theory,1903,Male,Theory of Electromagnetism,Copley Medal,Self-taught,Foundational work in quantum mechanics
Max Planck,UK,Physics,182,Wave Equation,1932,Male,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Isaac Newton,Italy,Physics,191,Electromagnetic Theory,1914,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Carl Sagan,Italy,Physics,146,Cosmos Series,1936,Male,Fermi Paradox,Pulitzer Prize,Ph.D. in Physics,Nuclear physics and reactor development
Carl Sagan,USA,Physics,139,Father of Computer Science,1987,Male,Theory of Electromagnetism,Numerous Posthumous,Ph.D. in Physics,Discovery of electromagnetic induction
Erwin Schrödinger,Austria,Polymath,141,Electromagnetic Theory,1907,Female,Research on radioactivity,Nobel Prize,Ph.D. in Chemistry,Wave mechanics in quantum physics
Leonardo da Vinci,UK,Astronomy,136,Discovery of Radium and Polonium,1920,Male,Schrödinger Equation,Copley Medal,Self-taught,Unified theory of electromagnetism
Galileo Galilei,UK,Mathematics,130,First computer algorithm,1943,Female,E=mc²,Pulitzer Prize,Ph.D. (honorary),Revolutionized modern physics
Stephen Hawking,UK,Chemistry,138,"AC Electricity, Tesla Coil",1938,Male,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Enrico Fermi,USA,Mathematics,169,General Theory of Relativity,1900,Female,A Brief History of Time,Nobel Prize,University of Cambridge,Inventor and electrical engineering pioneer
Nikola Tesla,USA,Astronomy,150,Theory of Relativity,1952,Female,Various Patents,Nobel Prize,Self-taught,Discovery of electromagnetic induction
Richard Feynman,France,Physics,168,Discovery of Radium and Polonium,1968,Male,Cosmos,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Alan Turing,USA,Mathematics,188,"AC Electricity, Tesla Coil",1915,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Mathematics,Evolutionary biology pioneer
Alan Turing,UK,Mathematics,140,General Theory of Relativity,1905,Female,Vitruvian Man,N/A,Self-taught,Early pioneer of computer science
Erwin Schrödinger,UK,Polymath,158,Nuclear Reactor,1930,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
Enrico Fermi,Denmark,Polymath,143,"Mona Lisa, The Last Supper, Inventions",1928,Male,Philosophiæ Naturalis Principia Mathematica,Royal Medal,University of Cambridge,Developed quantum theory
James Clerk Maxwell,UK,Biology,134,Wave Equation,1908,Male,Vitruvian Man,Nobel Prize,Ph.D.,Foundational work in quantum mechanics
Ada Lovelace,UK,Astronomy,146,Black Hole Theory,1922,Male,Cosmos,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Michael Faraday,USA,Chemistry,157,Discovery of Radium and Polonium,1967,Female,Various Patents,N/A,Self-taught,Popularizing science and cosmology
Paul Dirac,Austria,Physics,165,Cosmos Series,1926,Female,Feynman Lectures,N/A,Ph.D. in Mathematics,Unified theory of electromagnetism
Leonardo da Vinci,Italy,Physics,166,General Theory of Relativity,1929,Male,Penrose Diagram,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Erwin Schrödinger,UK,Physics,185,General Theory of Relativity,1974,Female,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Self-taught,Evolutionary biology pioneer
Nikola Tesla,UK,Mathematics,151,Quantum Mechanics,1955,Male,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Mathematics,Foundation of classical mechanics
Enrico Fermi,France,Mathematics,194,Laws of Motion,1936,Female,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Galileo Galilei,UK,Physics,148,Wave Equation,1956,Female,Feynman Lectures,N/A,University of Cambridge,Laid the groundwork for modern computing
Paul Dirac,UK,Mathematics,159,Heliocentric Theory,1979,Female,A Brief History of Time,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Erwin Schrödinger,USA,Chemistry,142,General Theory of Relativity,1904,Female,Quantum Theory,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Charles Darwin,France,Physics,173,Quantum Electrodynamics,1987,Male,On the Origin of Species,Nobel Prize,University of Pisa,Popularizing science and cosmology
Enrico Fermi,UK,Mathematics,149,Electromagnetic Theory,1978,Female,Feynman Lectures,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
James Clerk Maxwell,France,Mathematics,192,"AC Electricity, Tesla Coil",1912,Male,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Niels Bohr,UK,Physics,175,Wave Equation,1998,Female,Bohr Model,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Ada Lovelace,UK,Physics,141,Electromagnetic Induction,1963,Male,Research on radioactivity,Royal Medal,University of Cambridge,Revolutionized modern physics
Carl Sagan,UK,Mathematics,156,Father of Computer Science,1958,Female,Feynman Lectures,N/A,Ph.D. in Chemistry,Popularizing science and cosmology
Enrico Fermi,UK,Astronomy,145,Electromagnetic Theory,1948,Female,Feynman Lectures,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Albert Einstein,France,Physics,137,Black Hole Theory,1991,Male,Quantum Theory,Pulitzer Prize,Ph.D. in Astronomy,Discovery of electromagnetic induction
Alan Turing,Italy,Mathematics,157,Heliocentric Theory,1977,Male,Penrose Diagram,N/A,University of Pisa,Laid the groundwork for modern computing
Marie Curie,Austria,Physics,141,Theory of Relativity,1959,Female,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Major advancements in astronomy
Leonardo da Vinci,France,Physics,187,Theory of Evolution,1916,Female,Research on radioactivity,Pulitzer Prize,Ph.D. in Mathematics,Revolutionized modern physics
Enrico Fermi,Germany,Mathematics,151,Father of Computer Science,1969,Female,A Brief History of Time,N/A,University of Cambridge,Inventor and electrical engineering pioneer
Ada Lovelace,UK,Mathematics,146,Father of Computer Science,1920,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Posthumous,Ph.D. in Astronomy,Quantum electrodynamics and physics teaching
Richard Feynman,Denmark,Mathematics,159,Laws of Motion,1938,Female,Research on radioactivity,N/A,Self-taught,Inventor and electrical engineering pioneer
Alan Turing,Italy,Physics,136,Wave Equation,1964,Male,A Brief History of Time,Nobel Prize,Self-taught,Revolutionized modern physics
Carl Sagan,Italy,Physics,156,"Mona Lisa, The Last Supper, Inventions",1944,Male,Penrose Diagram,Numerous Honors,Ph.D. in Chemistry,Laid the groundwork for modern computing
Charles Darwin,UK,Physics,136,Quantum Mechanics,1922,Female,Quantum Theory,Numerous Posthumous,Self-taught,Iconic Renaissance artist and inventor
Galileo Galilei,USA,Biology,161,Electromagnetic Induction,1990,Male,Schrödinger Equation,Nobel Prize,Self-taught,Early pioneer of computer science
Michael Faraday,Germany,Mathematics,182,Black Hole Theory,1939,Female,Cosmos,Pulitzer Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Galileo Galilei,Germany,Mathematics,187,Discovery of Radium and Polonium,1994,Female,A Brief History of Time,N/A,Ph.D. in Physics,Unified theory of electromagnetism
Marie Curie,UK,Chemistry,172,Cosmos Series,1997,Female,Vitruvian Man,N/A,University of Pisa,Contributions to cosmology and quantum gravity
Stephen Hawking,UK,Mathematics,164,Black Hole Theory,1974,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
Charles Darwin,UK,Physics,172,Theory of Relativity,1903,Male,Feynman Lectures,Numerous Posthumous,Ph.D. in Physics,Foundational work in quantum mechanics
Carl Sagan,Italy,Mathematics,167,"AC Electricity, Tesla Coil",1920,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Stephen Hawking,Germany,Mathematics,182,Heliocentric Theory,1979,Female,Penrose Diagram,Royal Medal,University of Pisa,Early pioneer of computer science
Alan Turing,UK,Physics,154,Quantum Electrodynamics,1968,Male,Bohr Model,Nobel Prize,Self-taught,Revolutionized modern physics
Michael Faraday,Germany,Physics,178,"AC Electricity, Tesla Coil",1972,Female,Dirac Equation,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Nikola Tesla,UK,Astronomy,154,First computer algorithm,1961,Female,Discovery of Electromagnetic Induction,Royal Medal,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Erwin Schrödinger,UK,Physics,132,First computer algorithm,1915,Male,Penrose Diagram,N/A,Ph.D. in Astronomy,Pioneering research in radioactivity
Erwin Schrödinger,UK,Mathematics,196,Nuclear Reactor,1991,Male,Dialogue Concerning the Two Chief World Systems,Two Nobel Prizes,Ph.D. in Chemistry,Foundational work in quantum mechanics
Isaac Newton,Germany,Chemistry,161,Wave Equation,1904,Female,Vitruvian Man,Nobel Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
Niels Bohr,UK,Physics,139,Heliocentric Theory,2000,Female,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Nuclear physics and reactor development
Carl Sagan,UK,Mathematics,164,"Mona Lisa, The Last Supper, Inventions",1967,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Physics,Revolutionized modern physics
Richard Feynman,UK,Mathematics,183,Discovery of Radium and Polonium,1999,Male,On Computable Numbers,Royal Medal,Self-taught,Popularizing science and cosmology
Stephen Hawking,USA,Mathematics,149,Cosmos Series,1907,Female,On the Origin of Species,Pulitzer Prize,Ph.D. in Mathematics,Wave mechanics in quantum physics
Carl Sagan,Denmark,Polymath,160,Quantum Electrodynamics,1989,Male,Quantum Theory,Nobel Prize,University of Pisa,Nuclear physics and reactor development
Charles Darwin,USA,Physics,148,General Theory of Relativity,1988,Female,Penrose Diagram,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Leonardo da Vinci,Italy,Physics,168,Discovery of Radium and Polonium,1975,Female,Quantum Theory,Royal Medal,Ph.D. in Mathematics,Wave mechanics in quantum physics
Richard Feynman,USA,Physics,194,Electromagnetic Theory,1965,Female,Dirac Equation,N/A,Ph.D. (honorary),Evolutionary biology pioneer
James Clerk Maxwell,USA,Mathematics,159,Electromagnetic Induction,1941,Male,Penrose Diagram,Numerous Honors,University of Cambridge,Unified theory of electromagnetism
Niels Bohr,USA,Chemistry,170,General Theory of Relativity,1982,Male,Vitruvian Man,Copley Medal,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Roger Penrose,USA,Polymath,135,Laws of Motion,1937,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Michael Faraday,Italy,Chemistry,175,Wave Equation,1975,Male,Fermi Paradox,Numerous Honors,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Charles Darwin,UK,Physics,143,"AC Electricity, Tesla Coil",1933,Male,Vitruvian Man,Nobel Prize,Ph.D. (honorary),Major advancements in astronomy
Enrico Fermi,USA,Mathematics,167,Quantum Mechanics,1983,Male,Vitruvian Man,Nobel Prize,Self-taught,Pioneering research in radioactivity
Roger Penrose,Germany,Mathematics,144,Theory of Relativity,1939,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Isaac Newton,Germany,Engineering,157,Father of Computer Science,1939,Male,Dirac Equation,Pulitzer Prize,Ph.D. in Mathematics,Nuclear physics and reactor development
Enrico Fermi,Denmark,Physics,195,Quantum Mechanics,1942,Male,Philosophiæ Naturalis Principia Mathematica,Numerous Honors,Ph.D. in Chemistry,Foundational work in quantum mechanics
Enrico Fermi,France,Mathematics,172,Electromagnetic Induction,1937,Male,Feynman Lectures,Royal Medal,Ph.D. in Physics,Foundational work in quantum mechanics
Leonardo da Vinci,UK,Physics,137,Nuclear Reactor,1959,Female,Vitruvian Man,Numerous Posthumous,Self-taught,Major advancements in astronomy
Nikola Tesla,UK,Chemistry,147,Heliocentric Theory,1933,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
